loss,mae,msle,val_loss,val_mae,val_msle
1.345977481,829.9720459,1.345977545,1.299025428,838.5877075,1.299025416
1.342431413,829.8618774,1.342431784,1.292994583,833.7235718,1.29299438
1.329575897,826.4962769,1.329575658,1.296467826,836.2275391,1.2964679
1.338443282,828.7282104,1.338443398,1.289657836,834.1924438,1.289657831
1.315168829,830.4790649,1.315168738,1.298680367,839.2158813,1.298680067
1.324517816,834.2850342,1.324517608,1.289023784,847.7102051,1.289023757
1.347956735,835.6896362,1.347956657,1.293075085,840.8624268,1.293075323
1.336030743,834.0358887,1.336030722,1.306788634,844.0899048,1.306788921
1.328302872,830.8710327,1.328303218,1.29473913,836.4105225,1.294739008
1.346482278,832.6674805,1.346482396,1.296154086,834.1605225,1.296154141
1.328326613,829.0432739,1.328326464,1.289723073,833.7390747,1.289723158
1.333003547,832.5853271,1.333003402,1.284272593,839.1583862,1.284272909
1.334278378,829.4512939,1.334278107,1.291458666,831.6279297,1.291458726
1.340835437,827.3076782,1.34083581,1.282637508,825.829834,1.282637596
1.315672412,827.5976563,1.315672517,1.302720876,837.9628296,1.302720666
1.314174818,825.8030396,1.314174771,1.28054067,832.668457,1.280540586
1.33214229,825.1981201,1.332142115,1.277368084,832.367981,1.277368069
1.319582764,825.3955688,1.319582701,1.281904711,833.9575195,1.281904578
1.326724838,826.4354248,1.326725125,1.278324707,830.473999,1.278324842
1.309077591,822.1708374,1.309077501,1.279555866,822.2678833,1.279556036
1.325914303,819.5994263,1.325914383,1.281663853,830.5150757,1.281663895
1.3233684,823.6342163,1.323368311,1.286601834,827.6975708,1.28660202
1.318119771,820.9577026,1.318119764,1.278512479,821.6945801,1.278512597
1.327449637,828.9351807,1.32744956,1.272541673,830.4500732,1.272541881
1.337999383,825.8478394,1.337999463,1.274335359,834.3113403,1.274335504
1.316557124,827.3304443,1.316556811,1.277236155,824.2692261,1.277236104
1.342247336,814.6021729,1.342247367,1.271011084,817.6706543,1.271010995
1.325195313,816.9953613,1.325195551,1.271655285,824.5405273,1.27165544
1.313203209,808.428772,1.313203096,1.272078839,809.9702148,1.272078753
1.31912007,811.6205444,1.319120407,1.280236967,823.0910645,1.280236959
1.31740509,815.4694214,1.317405343,1.271335249,824.9054565,1.271335125
1.312550306,816.9054565,1.312550545,1.275106747,832.6782227,1.275106788
1.322182319,816.7324829,1.322182536,1.270450747,814.0632324,1.270450711
1.323378463,802.4972534,1.323378086,1.269954555,806.9041748,1.269954443
1.318858078,804.1002197,1.318857789,1.271420676,812.763916,1.271420479
1.315252571,803.5302734,1.315252423,1.277719507,818.5734253,1.277719378
1.331246803,812.5256958,1.331246614,1.279137586,821.6911621,1.279137731
1.342423747,807.9679565,1.342423916,1.287745325,805.4550781,1.287745237
1.350188875,800.940979,1.350189209,1.276974612,794.2503052,1.276974559
1.317718162,790.8744507,1.317718029,1.270221378,792.0234375,1.270221233
