,0,,,197.9315658,,,Total rotation,ANFIS,ANN
224,6350.5,,,,,,,,
225,0,,,,,,,,
226,6350.5,,,,,,,,
227,3300.5,,,,,,,,
228,4700.5,,,,,,,,
229,0,,,,,,,,
230,6350.5,,,,,,,,
231,3300.5,,,,,,,,
232,3300.5,,,,,,,,
233,2100,,,,,,,,
234,3300.5,,,,,,,,
235,3300.5,,,,,,,,
236,0,,,,,,,,
237,0,,,,,,,,
238,3300.5,,,,,,,,
239,3300.5,,,,,,,,
240,3300.5,,,,,,,,
241,0,,,,,,,,
242,3300.5,,,,,,,,
243,2100,,,,,,,,
244,2100,,,,,,,,
245,6350.5,,,,,,,,
246,0,,,,,,,,
247,2100,,,,,,,,
248,0,,,,,,,,
249,3300.5,,,,,,,,
250,3300.5,,,,,,,,
251,0,,,,,,,,
252,3300.5,,,,,,,,
253,3300.5,,,,,,,,
254,6350.5,,,,,,,,
255,4700.5,,,,,,,,
256,3300.5,,,,,,,,
257,3300.5,,,,,,,,
258,2100,,,,,,,,
259,3300.5,,,,,,,,
260,4700.5,,,,,,,,
261,3300.5,,,,,,,,
262,0,,,,,,,,
263,2100,,,,,,,,
264,3300.5,,,,,,,,
265,3300.5,,,,,,,,
266,3300.5,,,,,,,,
267,3300.5,,,,,,,,
268,3300.5,,,,,,,,
269,3300.5,,,,,,,,
270,0,,,,,,,,
271,4700.5,,,,,,,,
272,3300.5,,,,,,,,
273,6350.5,,,,,,,,
274,2100,,,,,,,,
275,4700.5,,,,,,,,
276,3300.5,,,,,,,,
277,0,,,,,,,,
278,2100,,,,,,,,
279,3300.5,,,,,,,,
280,4700.5,,,,,,,,
281,0,,,,,,,,
282,6350.5,,,,,,,,
283,6350.5,,,,,,,,
284,4700.5,,,,,,,,
285,3300.5,,,,,,,,
286,4700.5,,,,,,,,
287,2100,,,,,,,,
288,0,,,,,,,,
289,3300.5,,,,,,,,
290,3300.5,,,,,,,,
291,2100,,,,,,,,
292,0,,,,,,,,
293,3300.5,,,,,,,,
294,6350.5,,,,,,,,
295,3300.5,,,,,,,,
296,0,,,,,,,,
297,2100,,,,,,,,
298,3300.5,,,,,,,,
299,0,,,,,,,,
300,4700.5,,,,,,,,
301,6350.5,,,,,,,,
302,4700.5,,,,,,,,
303,3300.5,,,,,,,,
304,3300.5,,,,,,,,
305,3300.5,,,,,,,,
306,4700.5,,,,,,,,
307,2100,,,,,,,,
308,3300.5,,,,,,,,
309,0,,,,,,,,
310,3300.5,,,,,,,,
311,3300.5,,,,,,,,
312,0,,,,,,,,
313,3300.5,,,,,,,,
314,4700.5,,,,,,,,
315,2100,,,,,,,,
316,0,,,,,,,,
317,0,,,,,,,,
318,0,,,,,,,,
319,0,,,,,,,,
320,2100,,,,,,,,
321,0,,,,,,,,
322,3300.5,,,,,,,,
