loss,mae,mse,val_loss,val_mae,val_mse
12002341.5625,2897.738037109375,12002341.0,11590850.2,2857.211181640625,11590850.0
10286749.23125,2698.130126953125,10286752.0,6188487.85,2144.832763671875,6188487.5
3607102.021875,1574.8199462890625,3607101.75,764478.440625,697.8260498046875,764478.375
511982.28828125,551.3532104492188,511982.1875,438441.615625,486.98388671875,438441.6875
351983.370703125,458.22930908203125,351983.375,370071.7421875,463.1481628417969,370071.71875
279000.26015625,422.8377990722656,279000.28125,328349.3765625,442.77716064453125,328349.375
251240.4669921875,401.2696838378906,251240.46875,265297.56875,411.5075378417969,265297.5625
238858.5125,391.03961181640625,238858.5,236142.2984375,395.4954528808594,236142.265625
231544.85234375,385.4631652832031,231544.828125,225702.5015625,384.8336486816406,225702.5
225236.28203125,381.0757751464844,225236.28125,224945.0203125,387.6259460449219,224945.03125
219085.4365234375,377.0633850097656,219085.46875,220068.39921875,383.6152648925781,220068.40625
214669.7171875,373.53131103515625,214669.734375,222376.80234375,387.64788818359375,222376.8125
209780.0767578125,370.49493408203125,209780.078125,210864.3140625,377.7306213378906,210864.3125
204498.4650390625,365.7373352050781,204498.5,204763.9078125,371.90325927734375,204763.90625
201769.473828125,363.19268798828125,201769.5,197884.034375,364.5074768066406,197884.046875
196649.0376953125,358.4266662597656,196649.046875,194775.553125,361.4612731933594,194775.5625
192950.6767578125,355.2379150390625,192950.6875,187580.12734375,352.2022399902344,187580.125
188703.7361328125,350.6664733886719,188703.75,184073.69140625,349.3897399902344,184073.6875
184480.4439453125,346.5321350097656,184480.4375,182709.1921875,348.918701171875,182709.203125
182121.644921875,343.703369140625,182121.625,177427.2015625,341.66064453125,177427.203125
178094.2796875,339.44354248046875,178094.28125,173546.93828125,336.1001281738281,173546.921875
175498.891796875,335.41387939453125,175498.921875,171270.33515625,334.25738525390625,171270.3125
173209.6505859375,332.6039733886719,173209.671875,168412.70234375,327.5135192871094,168412.703125
170530.160546875,329.5841979980469,170530.1875,167120.46953125,326.471435546875,167120.453125
166937.8513671875,325.1484069824219,166937.875,162964.88984375,323.27166748046875,162964.890625
165030.942578125,322.3000183105469,165030.90625,161324.23828125,320.5985107421875,161324.234375
162818.641015625,319.5318603515625,162818.640625,158933.75546875,318.1455383300781,158933.765625
162049.4994140625,317.691162109375,162049.515625,159166.74296875,314.84197998046875,159166.75
161031.3482421875,315.64080810546875,161031.359375,156270.78203125,315.1025695800781,156270.765625
159018.1419921875,312.9051513671875,159018.15625,154668.93046875,311.4863586425781,154668.921875
160178.22421875,312.3985900878906,160178.203125,154437.7984375,311.26397705078125,154437.78125
156208.4287109375,308.47698974609375,156208.390625,153162.07734375,307.8128662109375,153162.09375
154803.765625,307.03619384765625,154803.765625,151937.60078125,303.8246154785156,151937.59375
154831.5119140625,305.666015625,154831.515625,149999.49765625,303.2432861328125,149999.484375
154214.0435546875,303.7318420410156,154214.0625,149770.6453125,303.8275451660156,149770.65625
152995.915625,302.8878479003906,152995.953125,148449.530078125,300.6603088378906,148449.515625
152346.60654296874,300.7706298828125,152346.578125,148862.669921875,300.8113708496094,148862.65625
152083.8509765625,300.2452087402344,152083.84375,147259.164453125,295.54693603515625,147259.15625
150616.3427734375,298.2969055175781,150616.359375,147450.9171875,295.8833923339844,147450.921875
150198.753515625,296.98028564453125,150198.765625,147482.13359375,298.3489685058594,147482.140625
148652.6837890625,295.3681945800781,148652.65625,145653.84453125,294.4855651855469,145653.84375
148226.19033203126,294.2651672363281,148226.21875,150038.941796875,299.6688537597656,150038.921875
150918.297265625,295.9327392578125,150918.3125,145737.754296875,292.523681640625,145737.75
148242.54970703126,293.6488952636719,148242.546875,146071.709375,289.8033752441406,146071.703125
151013.5673828125,294.5632629394531,151013.5625,145455.48828125,295.7742004394531,145455.484375
146866.56181640626,291.5670471191406,146866.5625,143954.1703125,291.55810546875,143954.171875
147026.2943359375,291.30426025390625,147026.28125,144211.4515625,293.3540344238281,144211.453125
146431.86865234375,290.7729797363281,146431.875,145043.105859375,291.6486511230469,145043.078125
147566.02265625,290.5734558105469,147566.015625,142652.581640625,290.2662353515625,142652.5625
146687.751953125,290.166015625,146687.734375,142202.8453125,285.4939270019531,142202.859375
146178.64609375,289.5138854980469,146178.65625,141335.377734375,287.00762939453125,141335.390625
145133.1591796875,288.0947570800781,145133.140625,142585.75625,290.092529296875,142585.75
144202.9701171875,287.36090087890625,144202.96875,142660.676171875,288.1414794921875,142660.6875
146214.5525390625,288.0208435058594,146214.546875,140977.048828125,287.64739990234375,140977.046875
145246.35419921874,286.3325500488281,145246.34375,140997.713671875,287.5433654785156,140997.703125
144252.3404296875,286.1506042480469,144252.3125,142016.210546875,285.124755859375,142016.21875
144773.2685546875,286.3345031738281,144773.28125,139885.123828125,282.78228759765625,139885.125
144059.528515625,285.3516540527344,144059.5625,141624.20546875,288.2753601074219,141624.21875
144201.87685546876,284.53662109375,144201.875,139761.181640625,285.6361389160156,139761.203125
142014.9939453125,283.4393615722656,142015.03125,139089.891796875,283.7882385253906,139089.90625
144096.96689453124,284.32122802734375,144096.953125,138680.961328125,281.6214294433594,138680.96875
143876.37333984376,284.1475524902344,143876.34375,138396.6484375,280.731689453125,138396.640625
144040.37666015624,283.60009765625,144040.375,141593.981640625,284.7062072753906,141593.984375
144452.44208984374,284.3574523925781,144452.421875,138521.64375,278.54412841796875,138521.640625
142999.77265625,282.7385559082031,142999.78125,137792.190625,281.0781555175781,137792.203125
142565.52783203125,282.1459045410156,142565.53125,138809.452734375,278.7937316894531,138809.453125
141275.25283203126,281.4810791015625,141275.234375,140268.09375,286.02386474609375,140268.078125
144595.86015625,283.3505554199219,144595.859375,139365.4234375,279.3746337890625,139365.421875
142503.47333984374,281.772216796875,142503.484375,137643.077734375,281.1636047363281,137643.078125
142170.3724609375,281.4829406738281,142170.375,140833.71875,285.0992431640625,140833.734375
141421.98798828124,280.85406494140625,141421.984375,137022.848046875,279.9691162109375,137022.84375
142802.84892578126,281.3614807128906,142802.875,143189.8125,288.1694641113281,143189.8125
143196.64677734376,282.3143005371094,143196.609375,138239.99609375,282.6522521972656,138240.0
140160.31044921876,279.8345947265625,140160.296875,136955.791015625,280.48870849609375,136955.78125
141984.95107421876,280.55682373046875,141984.953125,138356.697265625,281.2318115234375,138356.703125
142400.9857421875,281.32611083984375,142401.0,137287.396484375,275.40576171875,137287.390625
140572.21328125,279.7238464355469,140572.21875,136637.24375,280.0454406738281,136637.25
140515.45498046876,279.0753173828125,140515.453125,136383.191796875,278.4531555175781,136383.1875
141071.94267578126,279.56768798828125,141071.953125,137871.205859375,281.482666015625,137871.234375
140102.275390625,278.80865478515625,140102.265625,137634.507421875,278.9283142089844,137634.5
138038.5138671875,277.2162780761719,138038.515625,140734.4484375,285.0174255371094,140734.46875
138973.35556640624,277.71771240234375,138973.359375,135891.58125,278.9388122558594,135891.59375
140512.00458984374,279.16986083984375,140512.0,135199.856640625,273.2569580078125,135199.875
140793.36103515624,278.37518310546875,140793.34375,134527.31953125,275.9227600097656,134527.3125
140303.15615234376,278.02520751953125,140303.125,134692.54453125,277.1534118652344,134692.5625
138449.33466796874,276.9661865234375,138449.34375,136734.89921875,279.9296569824219,136734.890625
139141.6958984375,277.166748046875,139141.703125,133952.126171875,275.8668212890625,133952.140625
138483.7314453125,276.4903869628906,138483.71875,133889.162890625,272.55078125,133889.171875
136997.39462890624,275.3891296386719,136997.390625,133931.777734375,271.30828857421875,133931.78125
137053.94423828126,275.2206726074219,137053.9375,133211.21171875,274.34796142578125,133211.21875
138246.54912109376,276.2480773925781,138246.546875,133058.39453125,271.29541015625,133058.390625
136666.13447265624,274.6412658691406,136666.15625,134611.777734375,271.62725830078125,134611.78125
139055.9236328125,276.6602783203125,139055.9375,132145.521484375,272.4310302734375,132145.515625
137248.1462890625,274.7081604003906,137248.140625,133916.70859375,270.7464599609375,133916.703125
137039.34267578126,274.6282653808594,137039.359375,132967.59140625,274.8678894042969,132967.5625
137164.8294921875,274.4886474609375,137164.8125,131508.13671875,272.22955322265625,131508.140625
136067.17314453126,274.1814880371094,136067.171875,131077.69140625,271.47747802734375,131077.703125
137440.17998046876,275.3153381347656,137440.140625,133690.8515625,275.9403991699219,133690.84375
135442.627734375,273.34124755859375,135442.640625,132442.76640625,274.2547607421875,132442.78125
137181.0498046875,274.71044921875,137181.015625,132448.85390625,270.2429504394531,132448.859375
135287.46904296876,272.7601318359375,135287.46875,132548.229296875,272.4960632324219,132548.21875
